CustomerId,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
15000000,604,France,Male,29,4,68361.09,1,1,1,164817.46,0
15000001,724,Spain,Male,43,5,43258.16,1,0,1,7084.0,0
15000002,572,Germany,Male,51,10,49007.11,2,1,1,156437.03,0
15000003,566,Germany,Female,25,4,34780.63,4,1,0,147933.14,0
15000004,478,France,Male,55,8,60577.54,2,1,0,4067.62,0
15000005,547,France,Female,36,1,77613.33,2,1,0,90173.27,1
15000006,655,France,Male,28,9,78413.47,1,1,1,60952.89,1
15000007,798,Spain,Female,45,5,134510.77,1,1,0,51138.44,0
15000008,638,Germany,Female,33,3,0.0,2,1,0,31415.69,0
15000009,672,Germany,Female,37,2,115434.88,2,1,1,50676.38,0
15000010,759,France,Female,33,4,0.0,2,1,1,152427.23,0
15000011,618,Spain,Female,29,1,126049.33,1,1,1,181564.92,0
15000012,556,Spain,Female,45,2,0.0,1,0,1,70225.11,0
15000013,567,France,Male,35,6,45396.99,1,1,0,57086.14,0
15000014,757,France,Male,23,0,0.0,2,1,1,58641.62,0
15000015,663,France,Male,43,1,112622.0,3,1,1,106867.19,0
15000016,663,France,Male,25,2,93644.23,2,0,0,9134.28,0
15000017,564,Germany,Male,26,9,143511.26,1,1,1,114931.71,0
15000018,778,France,Male,49,6,0.0,1,1,1,184034.04,0
15000019,827,France,Male,26,3,112555.94,1,0,1,98497.18,0
15000020,666,Germany,Male,18,7,0.0,2,1,0,79702.9,1
15000021,738,France,Male,44,7,0.0,1,0,1,7954.12,1
15000022,588,France,Female,34,0,59968.03,1,0,0,109546.91,0
15000023,772,France,Male,35,4,101740.88,1,1,0,27288.48,1
15000024,705,France,Female,34,0,146790.82,2,1,0,92321.95,0
15000025,531,Spain,Male,40,6,132980.51,2,1,0,61794.88,1
15000026,693,France,Female,30,3,0.0,2,0,1,52176.79,1
15000027,692,Germany,Female,52,7,69296.92,1,0,1,191505.33,0
15000028,667,Germany,Female,23,7,63424.46,1,0,0,157540.66,0
15000029,698,France,Female,42,8,145847.94,1,1,1,23914.61,0
15000030,645,Germany,Male,44,10,162029.72,1,1,0,63258.32,0
15000031,632,France,Female,30,5,170422.37,2,1,0,140675.42,0
15000032,673,France,Female,27,6,135470.09,2,1,0,164713.71,0
15000033,616,Spain,Female,48,6,62156.56,4,1,1,105306.95,0
15000034,587,Spain,Female,28,4,0.0,1,1,1,180061.0,0
15000035,756,Spain,Male,31,6,96258.21,1,1,0,72323.05,0
15000036,594,France,Female,46,8,140546.11,2,1,1,15236.07,0
15000037,634,France,Male,38,10,1933.98,2,1,0,188303.66,0
15000038,603,Germany,Female,20,3,157772.85,2,1,1,82757.15,0
15000039,566,France,Male,55,1,0.0,2,1,0,4626.72,0
15000040,798,France,Female,32,7,80891.78,2,0,1,143843.08,0
15000041,511,France,Male,33,6,0.0,1,1,1,50364.6,0
15000042,688,France,Male,40,5,135772.83,2,0,1,18213.09,0
15000043,637,Spain,Female,44,6,153618.65,1,1,0,168814.82,0
15000044,695,France,Female,57,2,31168.97,2,1,1,48522.78,0
15000045,633,Germany,Female,21,5,0.0,2,0,1,108679.36,0
15000046,697,France,Male,46,9,0.0,1,0,0,122457.38,0
15000047,677,Germany,Male,45,6,68683.45,2,1,1,189003.35,1
15000048,706,Germany,Female,36,6,160702.38,2,0,1,79303.98,1
15000049,817,France,Female,45,4,8578.94,2,1,0,100286.87,0
15000050,470,Spain,Female,47,2,88300.3,1,1,1,60345.35,1
15000051,657,Spain,Male,24,1,0.0,2,1,0,93289.39,1
15000052,554,Spain,Female,55,6,71274.15,1,1,0,1424.73,1
15000053,580,Spain,Male,22,3,0.0,2,1,1,171741.11,0
15000054,558,Germany,Male,26,1,108250.14,2,1,1,13200.65,0
15000055,621,Spain,Male,35,7,61525.57,1,0,0,49225.74,0
15000056,757,France,Male,57,1,65787.61,1,1,1,143823.78,0
15000057,613,France,Female,34,5,77361.03,2,0,1,128313.77,0
15000058,683,France,Male,37,3,82666.96,3,0,1,150354.03,0
15000059,736,France,Male,52,8,101080.42,2,1,1,101054.33,0
15000060,568,France,Male,34,4,0.0,2,1,0,185720.38,1
15000061,573,France,Male,26,3,109095.79,2,0,1,188999.57,0
15000062,650,Spain,Female,33,7,150119.21,2,0,0,151585.05,1
15000063,477,France,Male,51,2,0.0,1,0,0,64348.17,0
15000064,842,France,Male,38,8,140555.47,1,1,1,8241.78,0
15000065,650,Germany,Female,57,7,0.0,2,1,0,109870.96,0
15000066,703,France,Female,45,7,22579.66,1,1,0,1822.61,0
15000067,631,Spain,Female,31,9,102523.57,2,1,1,161880.5,0
15000068,711,France,Male,38,4,0.0,2,1,1,117613.44,0
15000069,633,Spain,Female,29,0,0.0,1,1,1,123788.92,0
15000070,703,Spain,Female,31,10,0.0,2,0,0,12095.7,0
15000071,774,France,Female,82,9,67345.12,1,1,1,117174.88,0
15000072,438,France,Female,48,8,179415.03,2,1,1,35956.47,0
15000073,713,Spain,Male,46,1,0.0,1,1,1,80531.27,0
15000074,599,Germany,Female,31,0,164682.08,1,0,1,63841.58,0
15000075,543,Germany,Male,53,5,0.0,2,0,0,49266.88,0
15000076,511,Spain,Male,48,0,81947.99,2,0,1,89420.26,0
15000077,659,France,Male,56,9,66241.82,3,1,1,152389.37,0
15000078,677,France,Male,56,9,0.0,1,1,1,46652.67,0
15000079,589,France,Female,23,9,92170.96,1,1,1,102101.12,0
15000080,529,Spain,Female,26,6,0.0,1,0,0,71337.31,1
15000081,661,Germany,Female,27,6,0.0,1,1,1,130838.12,0
15000082,656,France,Female,28,0,214178.46,2,0,1,113415.82,0
15000083,707,France,Male,41,9,47648.37,3,1,0,130015.62,1
15000084,715,France,Male,32,4,102255.94,2,1,1,196457.46,0
15000085,761,France,Female,58,2,50317.36,2,1,1,101403.28,0
15000086,714,Germany,Female,57,10,0.0,1,0,1,20565.33,1
15000087,493,Germany,Male,37,1,0.0,1,1,0,8974.81,0
15000088,649,Spain,Female,57,10,110977.7,1,1,1,10085.57,0
15000089,746,France,Male,52,4,0.0,2,1,0,70442.47,0
15000090,731,France,Male,33,4,98192.26,2,0,0,144927.59,0
15000091,850,Germany,Male,18,1,73515.68,1,1,1,168023.33,0
15000092,735,Spain,Male,35,5,0.0,2,0,1,118813.88,0
15000093,520,Germany,Female,31,6,75972.93,2,1,1,96002.6,0
15000094,498,Spain,Female,40,0,131266.47,2,1,1,169329.27,0
15000095,655,France,Male,38,2,71996.11,3,0,1,11354.84,0
15000096,664,Germany,Female,38,3,116948.82,2,1,1,64725.08,0
15000097,597,France,Female,43,1,0.0,1,1,1,11484.34,0
15000098,723,France,Male,25,9,111894.58,1,1,0,186221.81,1
15000099,408,France,Male,42,10,0.0,1,1,0,17848.5,0
15000100,605,France,Female,33,4,0.0,1,1,0,191910.59,0
15000101,430,Germany,Female,39,3,110784.16,1,1,1,146167.17,1
15000102,577,France,Female,47,10,0.0,1,1,0,98913.36,0
15000103,616,Germany,Male,25,1,137530.11,1,1,1,62528.38,0
15000104,750,Spain,Female,35,10,187085.94,1,1,1,107421.21,0
15000105,532,France,Male,36,0,108269.65,1,1,1,128542.57,0
15000106,636,France,Male,32,7,168681.78,2,0,0,96266.26,0
15000107,599,Spain,Male,46,1,30898.79,1,1,0,183500.69,0
15000108,638,France,Male,30,3,127409.48,2,1,0,27868.81,1
15000109,612,France,Male,32,9,0.0,1,0,0,25689.48,0
15000110,625,France,Male,30,4,0.0,1,1,0,155906.2,1
15000111,587,France,Male,48,1,87039.83,2,1,0,112149.21,0
15000112,685,Spain,Female,33,9,97759.69,1,1,0,81224.11,0
15000113,755,Spain,Male,42,8,156591.79,3,1,1,164092.69,1
15000114,654,Germany,Male,57,1,0.0,1,1,1,187813.73,0
15000115,842,Spain,Male,37,5,39851.06,1,1,1,104948.16,0
